User ID,Jinsi,Yoshi,Taxminiy ish haqi,Sotib oliuvchi
15725660,Erkak,30,87000,0
15638963,Ayol,21,68000,0
15800061,Ayol,28,55000,0
15578006,Erkak,23,63000,0
15668504,Ayol,20,82000,0
15687491,Erkak,30,107000,1
15610403,Ayol,28,59000,0
15741094,Erkak,19,25000,0
15807909,Erkak,19,85000,0
15666141,Ayol,18,68000,0
15617134,Erkak,35,59000,0
15783029,Erkak,30,89000,0
15622833,Ayol,34,25000,0
15746422,Ayol,24,89000,0
15750839,Ayol,27,96000,1
15749130,Ayol,41,30000,0
15779862,Erkak,29,61000,0
15767871,Erkak,20,74000,0
15679651,Ayol,26,15000,0
15576219,Erkak,41,45000,0
15699247,Erkak,31,76000,0
15619087,Ayol,36,50000,0
15605327,Erkak,40,47000,0
15610140,Ayol,31,15000,0
15791174,Erkak,46,59000,0
15602373,Erkak,29,75000,0
15762605,Erkak,26,30000,0
15598840,Ayol,32,135000,1
15744279,Erkak,32,100000,1
15670619,Erkak,25,90000,0
15599533,Ayol,37,33000,0
15757837,Erkak,35,38000,0
15697574,Ayol,33,69000,0
15578738,Ayol,18,86000,0
15762228,Ayol,22,55000,0
15614827,Ayol,35,71000,0
15789815,Erkak,29,148000,1
15579781,Ayol,29,47000,0
15587013,Erkak,21,88000,0
15570932,Erkak,34,115000,0
15794661,Ayol,26,118000,0
15581654,Ayol,34,43000,0
15644296,Ayol,34,72000,0
15614420,Ayol,23,28000,0
15609653,Ayol,35,47000,0
15594577,Erkak,25,22000,0
15584114,Erkak,24,23000,0
15673367,Ayol,31,34000,0
15685576,Erkak,26,16000,0
15774727,Ayol,31,71000,0
15694288,Ayol,32,117000,1
15603319,Erkak,33,43000,0
15759066,Ayol,33,60000,0
15814816,Erkak,31,66000,0
15724402,Ayol,20,82000,0
15571059,Ayol,33,41000,0
15674206,Erkak,35,72000,0
15715160,Erkak,28,32000,0
15730448,Erkak,24,84000,0
15662067,Ayol,19,26000,0
15779581,Erkak,29,43000,0
15662901,Erkak,19,70000,0
15689751,Erkak,28,89000,0
15667742,Erkak,34,43000,0
15738448,Ayol,30,79000,0
15680243,Ayol,20,36000,0
15745083,Erkak,26,80000,0
15708228,Erkak,35,22000,0
15628523,Erkak,35,39000,0
15708196,Erkak,49,74000,0
15735549,Ayol,39,134000,1
15809347,Ayol,41,71000,0
15660866,Ayol,58,101000,1
15766609,Ayol,47,47000,0
15654230,Ayol,55,130000,1
15794566,Ayol,52,114000,0
15800890,Ayol,40,142000,1
15697424,Ayol,46,22000,0
15724536,Ayol,48,96000,1
15735878,Erkak,52,150000,1
15707596,Ayol,59,42000,0
15657163,Erkak,35,58000,0
15622478,Erkak,47,43000,0
15779529,Ayol,60,108000,1
15636023,Erkak,49,65000,0
15582066,Erkak,40,78000,0
15666675,Ayol,46,96000,0
15732987,Erkak,59,143000,1
15789432,Ayol,41,80000,0
15663161,Erkak,35,91000,1
15694879,Erkak,37,144000,1
15593715,Erkak,60,102000,1
15575002,Ayol,35,60000,0
15622171,Erkak,37,53000,0
15795224,Ayol,36,126000,1
15685346,Erkak,56,133000,1
15691808,Ayol,40,72000,0
15721007,Ayol,42,80000,1
15794253,Ayol,35,147000,1
15694453,Erkak,39,42000,0
15813113,Erkak,40,107000,1
15614187,Erkak,49,86000,1
15619407,Ayol,38,112000,0
15646227,Erkak,46,79000,1
15660541,Erkak,40,57000,0
15753874,Ayol,37,80000,0
15617877,Ayol,46,82000,0
15772073,Ayol,53,143000,1
15701537,Erkak,42,149000,1
15736228,Erkak,38,59000,0
15780572,Ayol,50,88000,1
15769596,Ayol,56,104000,1
15586996,Ayol,41,72000,0
15722061,Ayol,51,146000,1
15638003,Ayol,35,50000,0
15775590,Ayol,57,122000,1
15730688,Erkak,41,52000,0
15753102,Ayol,35,97000,1
15810075,Ayol,44,39000,0
15723373,Erkak,37,52000,0
15795298,Ayol,48,134000,1
15584320,Ayol,37,146000,1
15724161,Ayol,50,44000,0
15750056,Ayol,52,90000,1
15609637,Ayol,41,72000,0
15794493,Erkak,40,57000,0
15569641,Ayol,58,95000,1
15815236,Ayol,45,131000,1
15811177,Ayol,35,77000,0
15680587,Erkak,36,144000,1
15672821,Ayol,55,125000,1
15767681,Ayol,35,72000,0
15600379,Erkak,48,90000,1
15801336,Ayol,42,108000,1
15721592,Erkak,40,75000,0
15581282,Erkak,37,74000,0
15746203,Ayol,47,144000,1
15583137,Erkak,40,61000,0
15680752,Ayol,43,133000,0
15688172,Ayol,59,76000,1
15791373,Erkak,60,42000,1
15589449,Erkak,39,106000,1
15692819,Ayol,57,26000,1
15727467,Erkak,57,74000,1
15734312,Erkak,38,71000,0
15764604,Erkak,49,88000,1
15613014,Ayol,52,38000,1
15759684,Ayol,50,36000,1
15609669,Ayol,59,88000,1
15685536,Erkak,35,61000,0
15750447,Erkak,37,70000,1
15663249,Ayol,52,21000,1
15638646,Erkak,48,141000,0
15734161,Ayol,37,93000,1
15631070,Ayol,37,62000,0
15761950,Ayol,48,138000,1
15649668,Erkak,41,79000,0
15713912,Ayol,37,78000,1
15586757,Erkak,39,134000,1
15596522,Erkak,49,89000,1
15625395,Erkak,55,39000,1
15760570,Erkak,37,77000,0
15566689,Ayol,35,57000,0
15725794,Ayol,36,63000,0
15673539,Erkak,42,73000,1
15705298,Ayol,43,112000,1
15675791,Erkak,45,79000,0
15747043,Erkak,46,117000,1
15736397,Ayol,58,38000,1
15678201,Erkak,48,74000,1
15720745,Ayol,37,137000,1
15637593,Erkak,37,79000,1
15598070,Ayol,40,60000,0
15787550,Erkak,42,54000,0
15603942,Ayol,51,134000,0
15733973,Ayol,47,113000,1
15596761,Erkak,36,125000,1
15652400,Ayol,38,50000,0
15717893,Ayol,42,70000,0
15622585,Erkak,39,96000,1
15733964,Ayol,38,50000,0
15753861,Ayol,49,141000,1
15747097,Ayol,39,79000,0
15594762,Ayol,39,75000,1
15667417,Ayol,54,104000,1
15684861,Erkak,35,55000,0
15742204,Erkak,45,32000,1
15623502,Erkak,36,60000,0
15774872,Ayol,52,138000,1
15611191,Ayol,53,82000,1
15674331,Erkak,41,52000,0
15619465,Ayol,48,30000,1
15575247,Ayol,48,131000,1
15695679,Ayol,41,60000,0
15713463,Erkak,41,72000,0
15785170,Ayol,42,75000,0
15796351,Erkak,36,118000,1
15639576,Ayol,47,107000,1
15693264,Erkak,38,51000,0
15589715,Ayol,48,119000,1
15769902,Erkak,42,65000,0
15587177,Erkak,40,65000,0
15814553,Erkak,57,60000,1
15601550,Ayol,36,54000,0
15664907,Erkak,58,144000,1
15612465,Erkak,35,79000,0
15810800,Ayol,38,55000,0
15665760,Erkak,39,122000,1
15588080,Ayol,53,104000,1
15776844,Erkak,35,75000,0
15717560,Ayol,38,65000,0
15629739,Ayol,47,51000,1
15729908,Erkak,47,105000,1
15716781,Ayol,41,63000,0
15646936,Erkak,53,72000,1
15768151,Ayol,54,108000,1
15579212,Erkak,39,77000,0
15721835,Erkak,38,61000,0
15800515,Ayol,38,113000,1
15591279,Erkak,37,75000,0
15587419,Ayol,42,90000,1
15750335,Ayol,37,57000,0
15699619,Erkak,36,99000,1
15606472,Erkak,60,34000,1
15778368,Erkak,54,70000,1
15671387,Ayol,41,72000,0
15573926,Erkak,40,71000,1
15709183,Erkak,42,54000,0
15577514,Erkak,43,129000,1
15778830,Ayol,53,34000,1
15768072,Ayol,47,50000,1
15768293,Ayol,42,79000,0
15654456,Erkak,42,104000,1
15807525,Ayol,59,29000,1
15574372,Ayol,58,47000,1
15671249,Erkak,46,88000,1
15779744,Erkak,38,71000,0
15624755,Ayol,54,26000,1
15611430,Ayol,60,46000,1
15774744,Erkak,60,83000,1
15629885,Ayol,39,73000,0
15708791,Erkak,59,130000,1
15793890,Ayol,37,80000,0
15646091,Ayol,46,32000,1
15596984,Ayol,46,74000,0
15800215,Ayol,42,53000,0
15577806,Erkak,41,87000,1
15749381,Ayol,58,23000,1
15683758,Erkak,42,64000,0
15670615,Erkak,48,33000,1
15715622,Ayol,44,139000,1
15707634,Erkak,49,28000,1
15806901,Ayol,57,33000,1
15775335,Erkak,56,60000,1
15724150,Ayol,49,39000,1
15627220,Erkak,39,71000,0
15672330,Erkak,47,34000,1
15668521,Ayol,48,35000,1
15807837,Erkak,48,33000,1
15592570,Erkak,47,23000,1
15748589,Ayol,45,45000,1
15635893,Erkak,60,42000,1
15757632,Ayol,39,59000,0
15691863,Ayol,46,41000,1
15706071,Erkak,51,23000,1
15654296,Ayol,50,20000,1
15755018,Erkak,36,33000,0
15594041,Ayol,49,36000,1
